date,time,bytes,bytes_per_sec,msgs,msgs_per_sec,success,error,lat_count,lat_avg,lat_max,lat_histo_samples,lat_histo_min,lat_histo_max,lat_histo_mean,lat_histo_stddev,lat_histo_median,lat_histo_p75,lat_histo_p95,lat_histo_p98,lat_histo_p99,lat_histo_p999,topics
2018-07-31,15:30:07,3146241957,52437365,15162432,252707,15162433,0,15162431,178,777,14929725,22,777,178.78,74.74,176.00,228.00,291.00,335.00,412.00,609.00,1000
2018-07-31,15:31:07,3146335961,52438932,15163331,252722,15163329,0,15163329,182,1554,14927834,23,1554,182.90,86.02,178.00,231.00,298.00,364.00,449.00,932.00,1000
2018-07-31,15:32:07,3144960923,52416015,15156051,252600,15156051,0,15156049,172,1485,14884062,24,1485,172.84,79.32,168.00,222.00,280.00,345.00,423.00,699.00,1000
2018-07-31,15:33:07,3148830494,53370008,15175177,257206,15175179,0,15175182,180,1869,14900674,24,1869,180.04,86.07,175.00,228.00,291.00,349.00,432.00,907.00,1000
2018-07-31,15:34:07,3146086975,52434782,15161725,252695,15161723,0,15161720,177,1002,14893595,23,1002,177.90,74.76,175.00,228.00,289.00,335.00,407.00,614.00,1000
2018-07-31,15:35:07,3146389685,53328638,15162887,256998,15162887,0,15162887,176,745,14907106,24,745,177.04,74.46,173.00,227.00,285.00,339.00,417.00,606.00,1000
2018-07-31,15:36:07,3146354165,52439236,15163391,252723,15163391,0,15163391,178,770,14914370,23,770,178.88,77.57,175.00,228.00,292.00,357.00,432.00,642.00,1000
2018-07-31,15:37:07,3146772031,52446200,15164809,252746,15164810,0,15164812,179,970,14902785,25,970,179.17,78.38,175.00,228.00,290.00,356.00,440.00,671.00,1000
2018-07-31,15:38:07,3145968478,53321499,15161094,256967,15161094,0,15161095,183,1550,14886765,23,1550,184.00,79.68,180.00,233.00,297.00,339.00,414.00,694.00,1000
2018-07-31,15:39:07,3147942854,53354963,15170986,257135,15170987,0,15170988,182,1452,14927018,24,1452,182.17,81.45,178.00,231.00,294.00,348.00,431.00,786.00,1000
