date,time,bytes,bytes_per_sec,msgs,msgs_per_sec,success,error,lat_count,lat_avg,lat_max,lat_histo_samples,lat_histo_min,lat_histo_max,lat_histo_mean,lat_histo_stddev,lat_histo_median,lat_histo_p75,lat_histo_p95,lat_histo_p98,lat_histo_p99,lat_histo_p999,topics
2018-07-31,14:56:09,2265033927,37750565,10915722,181928,10915722,0,10915722,533,5935,10915722,62,5935,533.15,447.75,406.00,580.00,1291.00,1989.00,2540.00,4597.28,1000
2018-07-31,14:57:08,3149738137,53385392,15179736,257283,15179743,0,15179754,370,2249,14814896,86,2249,370.99,151.22,344.00,429.00,651.00,784.00,907.00,1420.00,1000
2018-07-31,14:58:08,3136056859,53153506,15113731,256164,15113724,0,15113713,394,3235,14848038,79,3235,395.52,210.03,348.00,452.00,757.00,996.00,1226.00,2142.00,1000
2018-07-31,14:59:08,3152828304,52547138,15193741,253229,15193744,0,15193750,379,3091,14873385,82,3091,376.21,162.27,347.00,435.00,667.00,820.00,954.00,1572.00,1000
2018-07-31,15:00:09,3150878017,53404712,15184950,257372,15184951,0,15184956,386,3030,14877138,82,3030,385.39,171.97,352.00,443.00,694.00,880.00,1031.00,1636.00,1000
2018-07-31,15:01:08,3145944243,52432404,15161415,252690,15161411,0,15161400,440,3963,14883183,81,3963,442.09,285.15,381.00,479.00,832.00,1268.00,1882.00,3034.00,1000
2018-07-31,15:02:08,3147154599,53341603,15166921,257066,15166921,0,15166921,397,2893,14893723,84,2893,397.43,201.95,353.00,450.00,747.00,1016.00,1257.00,1890.00,1000
2018-07-31,15:03:08,3147209323,53342530,15167006,257067,15167022,0,15167041,366,2012,14872840,74,2012,366.35,146.57,340.00,425.00,636.00,767.00,898.00,1309.00,1000
2018-07-31,15:04:09,3147350487,52455841,15168143,252802,15168127,0,15168108,373,2539,14884040,86,2539,374.40,157.11,345.00,432.00,663.00,811.00,949.00,1483.00,1000
2018-07-31,15:05:08,3146821913,52447031,15165043,252750,15165043,0,15165043,352,1948,14866423,80,1948,352.18,150.82,322.00,406.00,640.00,785.00,902.00,1262.00,1000
2018-07-31,15:06:08,3144620923,52410348,15154719,252578,15154719,0,15154719,351,2004,14891585,82,2004,351.20,144.44,324.00,405.00,626.00,753.00,867.00,1226.00,1000
2018-07-31,15:07:08,3148181980,53359016,15171831,257149,15171837,0,15171849,372,2942,14931020,83,2942,372.46,151.92,345.00,429.00,655.00,798.00,925.00,1385.00,1000
2018-07-31,15:08:08,3146259429,52437657,15162501,252708,15162495,0,15162483,362,2059,14894125,83,2059,362.73,149.34,335.00,420.00,645.00,781.00,903.00,1272.00,1000
2018-07-31,15:09:08,3145988627,52433143,15161760,252696,15161760,0,15161760,362,2699,14888012,82,2699,363.00,156.70,333.00,417.00,648.00,800.00,932.00,1494.00,1000
2018-07-31,15:10:08,3144940751,53304080,15156262,256885,15156265,0,15156272,359,2605,14889608,84,2605,359.79,152.06,332.00,415.00,636.00,771.00,896.00,1474.00,1000
2018-07-31,15:11:09,3148321311,52472021,15172950,252882,15172947,0,15172940,357,2661,14883585,82,2661,356.45,164.01,324.00,408.00,649.00,806.00,942.00,1711.00,1000
